Material,EG(eV),Type,X(eV),Structure,Lattice(A),K,Density(g/cm3),Melting(degC)
Si,1.11,i,4.05,D,5.43,11.8,2.33,1415.0
Ge,0.67,i,4.0,D,5.65,16,5.32,936.0
SiGe,,,,,,,,
C,5.5,i,0.3,D,3.5597,5.70,3.515,3850.0
SiC(3C),2.36,i,4.12,ZB,4.3596,9.72,3.21,"3100.0 (35 atm)"
SiC(4H),3.2,i,3.2,W,"a=3.0730,c=10.053","9.66,10.03",3.21,"3100.0 (35 atm)"
SiC(6H),3.0,i,3.7,W,"a=3.0806,c=15.11733","9.66,10.03",3.21,"3100.0 (35 atm)"
w-BN,4.5-5.5,i,4.5,W,"a=2.55,c=4.17","6.8,5.06",3.48,1400.0
c-BN,6.1-6.4,i,4.5,ZB,3.615,7.1,3.45,"1400.0 (4 GPa)"
h-BN,4.0-5.8,d,4.5,H,"a=2.5-2.9,c=6.66","6.85,5.06","2.0-2.28",1400.0
AlN,6.2,d,0.6,W,"a=3.112,c=4.982",8.5,3.23,"2750.0 (100 atm N2)"
AlP,2.45,i,3.98,ZB,5.46,9.8,2.4,2000.0
AlAs,2.16,i,3.5,ZB,5.66,10.9,3.60,1740.0
AlSb,1.6,i,3.6,ZB,6.14,11,4.26,1080.0
AlGaAs,"1.424+1.247x (x<0.45),1.9+0.125x+0.143x^2 (x>0.45)",i/d,"4.07-1.1x (x<0.45),3.64-0.14x (x>0.45)",ZB,5.6533+0.0078x,"12.90-2.84x,10.89-2.73x",5.32-1.56x,1240-58x+558x^2
AlGaN,,,,,,,,
AlGaSb,,,,,,,,
AlGaAsSb,,,,,,,,
GaN(W),3.39,d,3.5,W,"a=3.189,c=5.186",8.9,6.15,2530
GaN(ZB),3.2,d,4.1,ZB,4.52,9.7,6.15,2530
GaP,2.26,i,3.65,ZB,5.45,11.1,4.13,1467
GaAs,1.43,d,4.07,ZB,5.65,13.2,5.31,1238
GaSb,0.7,d,4.06,ZB,6.09,15.7,5.61,712
GaAsSb,"1.42-1.9x+1.2x^2 (0<x<0.3)",,4.07,ZB,lattice,"12.90+2.8x,10.89+3.51x",5.32+0.29x,
GaInN,,,,,,,,
GaInAs,,,,,,,,
GaInSb,,,,,,,,
GaInAsP,,,,,,,,
GaInAsSb,,,,,,,,
HgS,,,,,,,,
HgCdTe,,,,,,,,
InN,0.7,d,,ZB,"a=3.533,c=5.693",15.3,6.81,"750 (1000 atm N2)"
InP,1.35,d,4.35,ZB,5.87,12.4,4.79,1070
InAs,0.36,d,4.90,ZB,6.06,14.6,5.67,943
InSb,0.18,d,4.72,ZB,6.48,17.7,5.78,525
InAlAs,,,,,,,,
InAsSb,,,,,,,,
CdS,2.42,d,4.79,W,4.137,8.9,4.82,1475
CdSe,1.73,d,,W,4.30,10.2,5.81,1258
CdTe,1.58,d,4.28,ZB,6.482,10.2,6.20,1098
CdMnTe,,,,,,,,
ZnS,3.6,d,3.82,W,5.409,8.9,4.09,1650
ZnSe,2.7,d,4.09,ZB,5.671,9.2,5.65,1100
ZnTe,2.25,d,3.53,ZB,6.101,10.4,5.51,1238
ZnO,3.39,d,4.2-4.57,W,"a=3.253,c=5.213","7.8,8.75",5.67,2000
PbS,0.37,i,3.3,R,5.936,17.0,7.6,1119
PbSe,0.27,i,-,R,6.147,23.6,8.73,1081
PbTe,0.29,i,-,R,6.452,30,8.16,925
MgO,7.8,d,0.85,R,4.2112,9.83,3.58,2800
